total,image,text,ground_mse,contrast
4.33155019296689,0.25434088706970215,4.05705451965332,0.0,1.4166877269744873
4.164771396122622,0.26935556530952454,4.124855995178223,0.0,1.461039662361145
4.162123170461547,0.24492573738098145,3.5129964351654053,0.0,1.4820828437805176
4.161277817876152,0.25989794731140137,3.0075912475585938,0.0,1.4042487144470215
4.158322763576936,0.23893140256404877,3.3465688228607178,0.0,1.314178705215454
4.159303180957108,0.23856456577777863,3.4025039672851562,0.0,1.3049122095108032
4.158980766708932,0.21768972277641296,3.278036594390869,0.0,1.2794417142868042
4.1575713479117065,0.2792935371398926,3.4867544174194336,0.0,1.3626327514648438
4.158290114295617,0.23771798610687256,4.027885437011719,0.0,1.4650380611419678
4.15596003411861,0.23664534091949463,4.6411824226379395,0.0,1.337313175201416
4.149034151870214,0.2541096806526184,3.7680587768554688,0.0,1.2974101305007935
4.145521666226762,0.24980458617210388,3.7299602031707764,0.0,1.237531065940857
4.139933153484645,0.24067874252796173,3.830291509628296,0.0,1.3391222953796387
4.1339292546336575,0.2308453619480133,4.5830302238464355,0.0,1.1333568096160889
4.128042902169603,0.2505382299423218,4.127978324890137,0.0,1.1244159936904907
4.107451738936178,0.2412719577550888,3.124704360961914,0.0,1.2619640827178955
4.095989977375845,0.22160334885120392,3.871211290359497,0.0,0.9015576839447021
4.080177498667427,0.2558138370513916,3.9685075283050537,0.0,1.0128564834594727
4.065963305784075,0.2533453702926636,3.6860318183898926,0.0,1.5040737390518188
4.0501406829008895,0.23379117250442505,3.921666383743286,0.0,1.389250636100769
