total,image,text,ground_mse,contrast
3.976401209161523,0.24940381944179535,3.1434452533721924,0.0,0.0
3.8128755253352478,0.24012044072151184,3.0549049377441406,0.0,0.0
3.8107208850678433,0.2531561255455017,3.062004804611206,0.0,0.0
3.8121954504023776,0.23813098669052124,3.869741439819336,0.0,0.0
3.8111802219005115,0.23086592555046082,3.234238862991333,0.0,0.0
3.8134814119071105,0.23936498165130615,3.8743808269500732,0.0,0.0
3.8124902228291115,0.22816890478134155,3.5063817501068115,0.0,0.0
3.8106920940152715,0.24167048931121826,3.177111864089966,0.0,0.0
3.8093893159641308,0.2246246486902237,2.984614372253418,0.0,0.0
3.812993787647633,0.23379431664943695,3.883779764175415,0.0,0.0
3.809422194288018,0.2665373384952545,3.011033058166504,0.0,0.0
3.811553046274721,0.24581632018089294,3.307509660720825,0.0,0.0
3.8122229696659558,0.25872665643692017,3.5820956230163574,0.0,0.0
3.8152194826790455,0.2336590737104416,4.8486714363098145,0.0,0.0
3.810355909085006,0.20533263683319092,3.695047616958618,0.0,0.0
3.8109705682550925,0.2432866394519806,3.0258383750915527,0.0,0.0
3.8146694449896223,0.19338029623031616,4.681941986083984,0.0,0.0
3.811307686768221,0.23878507316112518,3.5320756435394287,0.0,0.0
3.812659758530306,0.26594671607017517,3.7883760929107666,0.0,0.0
3.8126735854684637,0.2435498684644699,3.925462484359741,0.0,0.0
