total,image,text,ground_mse,contrast
3.9595200004202598,0.25347334146499634,3.6559839248657227,0.0,0.0
3.8236541212274786,0.21685625612735748,4.321711540222168,0.0,0.0
3.8220557530274553,0.23059527575969696,3.451125144958496,0.0,0.0
3.820784451586477,0.30865389108657837,3.1318891048431396,0.0,0.0
3.822229510612702,0.2576330602169037,3.7604312896728516,0.0,0.0
3.817843751291211,0.24505303800106049,2.8611114025115967,0.0,0.0
3.8213045570287814,0.23868615925312042,3.4196736812591553,0.0,0.0
3.8184366139133323,0.2001708298921585,2.9927685260772705,0.0,0.0
3.81811532612597,0.2794620990753174,3.1334102153778076,0.0,0.0
3.822675049974677,0.2513289153575897,4.610306262969971,0.0,0.0
3.819609041294355,0.23989783227443695,3.4222733974456787,0.0,0.0
3.819488061947769,0.22661718726158142,3.6911354064941406,0.0,0.0
3.8173838331458274,0.24151231348514557,2.5050368309020996,0.0,0.0
3.821549288342508,0.21996507048606873,3.7209084033966064,0.0,0.0
3.8175446116522456,0.24068160355091095,3.083725690841675,0.0,0.0
3.8172695998395425,0.2520134150981903,3.016658067703247,0.0,0.0
3.8206118753786837,0.25281164050102234,3.9946820735931396,0.0,0.0
3.8199788760603144,0.2221168875694275,3.8955821990966797,0.0,0.0
3.8183270987499967,0.22566625475883484,2.851247787475586,0.0,0.0
3.818375503079275,0.25069737434387207,3.12606143951416,0.0,0.0
