total,image,text,ground_mse,contrast
4.101754988177439,0.24267958104610443,3.534324884414673,0.0450621023774147,0.0
3.822953005855003,0.22671838104724884,4.461170673370361,0.039474885910749435,0.0
3.8191703095864713,0.262797087430954,3.7831194400787354,0.03206838667392731,0.0
3.8173863526140708,0.25930851697921753,3.315472364425659,0.02463717944920063,0.0
3.819604065311089,0.22004537284374237,3.4677913188934326,0.022152412682771683,0.0
3.816092390692636,0.23149092495441437,3.1026554107666016,0.024173393845558167,0.0
3.81784313783217,0.24354490637779236,3.090179443359375,0.026789464056491852,0.0
3.816647317302361,0.22393885254859924,2.883107900619507,0.017245901748538017,0.0
3.818950886806745,0.2295813411474228,4.001941204071045,0.01790929026901722,0.0
3.8176029913880853,0.2462921440601349,3.8085052967071533,0.0213802270591259,0.0
3.8171145119024126,0.28179261088371277,3.534395694732666,0.012578165158629417,0.0
3.8186054658354,0.25161969661712646,4.031731605529785,0.01913127675652504,0.0
3.81761445356219,0.2494519054889679,3.896304130554199,0.015222931280732155,0.0
3.8164496555756986,0.21508489549160004,3.4126598834991455,0.016553563997149467,0.0
3.817536443806766,0.25498881936073303,4.028187274932861,0.023063845932483673,0.0
3.816228065597877,0.23435291647911072,3.1682231426239014,0.018903449177742004,0.0
3.8151139469628923,0.2301158457994461,2.6316354274749756,0.019116388633847237,0.0
3.818835973739624,0.221243754029274,4.081862449645996,0.018400195986032486,0.0
3.815045370814506,0.2239382416009903,3.3332109451293945,0.01712026074528694,0.0
3.816246691714512,0.23878131806850433,3.4947240352630615,0.01418654341250658,0.0
